Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;19;4;;;OUI;OUI;2025-01-09T20:46:18+01:00;;;
;;OUI;;14;6;;;OUI;OUI;2025-01-09T20:47:11+01:00;;;
;;OUI;;31;19;;;OUI;OUI;2025-01-09T20:44:27+01:00;;;
;;OUI;;12;15;;;OUI;OUI;2025-01-09T20:45:04+01:00;;;
;;OUI;;1;15;;;OUI;OUI;2025-01-09T20:43:33+01:00;;;
;;OUI;;29;13;;;OUI;OUI;2025-01-09T20:48:11+01:00;;;
;;OUI;;26;4;;;OUI;OUI;2025-01-09T20:46:06+01:00;;;
;;OUI;;2;31;;;OUI;OUI;2025-01-09T20:47:18+01:00;;;
;;OUI;;20;8;;;OUI;OUI;2025-01-09T20:47:07+01:00;;;
;;OUI;;2;23;;;OUI;OUI;2025-01-09T20:45:55+01:00;;;
;;OUI;;35;1;;;OUI;OUI;2025-01-09T20:46:14+01:00;;;
;;OUI;;26;0;;;NON;NON;2025-01-09T20:38:27+01:00;;;
;;OUI;;19;7;;;OUI;OUI;2025-01-09T20:39:08+01:00;;;
;;OUI;;6;24;;;OUI;OUI;2025-01-09T20:48:21+01:00;;;
;;OUI;;16;12;;;OUI;OUI;2025-01-09T20:48:12+01:00;;;
;;OUI;;6;14;;;OUI;OUI;2025-01-09T20:45:08+01:00;;;
;;OUI;;31;2;;;OUI;OUI;2025-01-09T20:39:11+01:00;;;
;;OUI;;0;63;;;OUI;OUI;2025-01-09T20:48:14+01:00;;;
;;OUI;;3;44;;;OUI;OUI;2025-01-09T20:47:46+01:00;;;
;;OUI;;7;12;;;OUI;OUI;2025-01-09T20:43:15+01:00;;;
;;OUI;;20;3;;;OUI;OUI;2025-01-09T20:44:47+01:00;;;
;;OUI;;6;15;;;OUI;OUI;2025-01-09T20:45:53+01:00;;;
;;OUI;;15;4;;;OUI;OUI;2025-01-09T20:45:56+01:00;;;
;;OUI;;32;11;;;OUI;OUI;2025-01-09T20:42:12+01:00;;;
;;OUI;;4;52;;;OUI;OUI;2025-01-09T20:46:42+01:00;;;
;;OUI;;38;8;;;OUI;OUI;2025-01-09T20:47:35+01:00;;;
;;OUI;;4;36;;;OUI;OUI;2025-01-09T20:48:00+01:00;;;
;;OUI;;5;11;;;OUI;OUI;2025-01-09T20:46:30+01:00;;;
;;OUI;;19;11;;;OUI;OUI;2025-01-09T20:46:39+01:00;;;
;;OUI;;8;17;;;OUI;OUI;2025-01-09T20:43:18+01:00;;;
;;OUI;;16;31;;;OUI;OUI;2025-01-09T20:48:20+01:00;;;
;;OUI;;1;23;;;OUI;OUI;2025-01-09T20:47:50+01:00;;;
;;OUI;;0;28;;;OUI;OUI;2025-01-09T20:48:19+01:00;;;
;;OUI;;33;0;;;NON;NON;2025-01-09T20:46:27+01:00;;;
;;OUI;;36;6;;;OUI;OUI;2025-01-09T20:45:58+01:00;;;
;;OUI;;8;31;;;OUI;OUI;2025-01-09T20:48:13+01:00;;;
;;OUI;;26;7;;;OUI;OUI;2025-01-09T20:45:33+01:00;;;
;;OUI;;32;7;;;OUI;OUI;2025-01-09T20:43:02+01:00;;;
;;OUI;;17;42;;;OUI;OUI;2025-01-09T20:47:48+01:00;;;
;;OUI;;40;3;;;OUI;OUI;2025-01-09T20:45:59+01:00;;;
;;OUI;;7;59;;;OUI;OUI;2025-01-09T20:48:04+01:00;;;
;;OUI;;8;14;;;OUI;OUI;2025-01-09T20:44:50+01:00;;;
;;OUI;;14;5;;;OUI;OUI;2025-01-09T20:46:13+01:00;;;
;;OUI;;5;14;;;OUI;OUI;2025-01-09T20:47:04+01:00;;;
;;OUI;;22;5;;;OUI;OUI;2025-01-09T20:47:56+01:00;;;
;;OUI;;2;14;;;OUI;OUI;2025-01-09T20:48:16+01:00;;;
;;OUI;;36;4;;;OUI;OUI;2025-01-09T20:47:20+01:00;;;
;;OUI;;27;21;;;OUI;OUI;2025-01-09T20:48:12+01:00;;;
;;OUI;;14;4;;;OUI;OUI;2025-01-09T20:38:51+01:00;;;
;;OUI;;12;21;;;OUI;OUI;2025-01-09T20:46:42+01:00;;;
;;OUI;;46;3;;;OUI;OUI;2025-01-09T20:39:38+01:00;;;
;;OUI;;4;21;;;OUI;OUI;2025-01-09T20:48:01+01:00;;;
